Net_Name,Net_Pins
DDR4_CKE0,R197.1 U1.AR30 U9.G3 U10.G3 U11.G3 U12.G3 U13.G3 U34.G3 U35.G3 U36.G3 U37.G3
DDR4_CKE1,R213.1 U1.AU28 U9.G2 U10.G2 U11.G2 U12.G2 U13.G2 U34.G2 U35.G2 U36.G2 U37.G2
DDR4_CS0_N,R201.1 U1.AV29 U9.G7 U10.G7 U11.G7 U12.G7 U13.G7 U34.G7 U35.G7 U36.G7 U37.G7
DDR4_CS1_N,R221.1 U1.AR29 U9.G8 U10.G8 U11.G8 U12.G8 U13.G8 U34.G8 U35.G8 U36.G8 U37.G8
DDR4_DBI_B0,U1.AU9 U13.A7
DDR4_DBI_B1,U1.AP14 U34.A7
DDR4_DBI_B2,U1.AU16 U12.A7
DDR4_DBI_B3,U1.AP21 U35.A7
DDR4_DBI_B4,U1.AK37 U10.A7
DDR4_DBI_B5,U1.AK34 U36.A7
DDR4_DBI_B6,U1.AC37 U9.A7
DDR4_DBI_B7,U1.AC34 U37.A7
DDR4_DBI_B8,U1.AU23 U11.A7
DDR4_DQ0,U1.AU8 U13.C2
DDR4_DQ1,U1.AV11 U13.B7
DDR4_DQ2,U1.AV8 U13.D3
DDR4_DQ3,U1.AU11 U13.D7
DDR4_DQ4,U1.AU7 U13.D2
DDR4_DQ5,U1.AV12 U13.D8
DDR4_DQ6,U1.AV7 U13.E3
DDR4_DQ7,U1.AU12 U13.E7
DDR4_DQ8,U1.AR16 U34.C2
DDR4_DQ9,U1.AR13 U34.B7
DDR4_DQ10,U1.AR17 U34.D3
DDR4_DQ11,U1.AP13 U34.D7
DDR4_DQ12,U1.AP16 U34.D2
DDR4_DQ13,U1.AR12 U34.D8
DDR4_DQ14,U1.AP17 U34.E3
DDR4_DQ15,U1.AP12 U34.E7
DDR4_DQ16,U1.AU15 U12.C2
DDR4_DQ17,U1.AV18 U12.B7
DDR4_DQ18,U1.AV15 U12.D3
DDR4_DQ19,U1.AU18 U12.D7
DDR4_DQ20,U1.AU14 U12.D2
DDR4_DQ21,U1.AV19 U12.D8
